"data";"close";"open";"high";"low"
"1";"2013-04-01";93,033;92,5;93,74999;91
"2";"2013-04-02";103,999;93,25;105,9;92,49999
"3";"2013-04-03";118,22935407;104;118,3867;99
"4";"2013-04-04";134,7;117,95826131;146,88;101,51088
"5";"2013-04-05";132,899;134,71656;143;119
"6";"2013-04-06";142,3;130,10001;145;128,25
"7";"2013-04-07";143,05;142,8;144;139
"8";"2013-04-08";162,304;143,5;164,75;142,75
"9";"2013-04-09";186,985;163,9;194,57;163,2
"10";"2013-04-10";232,99;186,8;249,97;186,8
"11";"2013-04-11";162;228,669;290;19,9
"12";"2013-04-12";100;162;205;1,06
"13";"2013-04-13";112;109;157;51
"14";"2013-04-14";91,1;112;130;81,12
"15";"2013-04-15";90,171;91,1;109;20
"16";"2013-04-16";83,302;89,86;104;71,497
"17";"2013-04-17";67,588;84,27;84,48;0,01
"18";"2013-04-18";93,063;68,135;98,9;63,5
"19";"2013-04-19";111,3;93;114;87
"20";"2013-04-20";119;110;142;104,56
"21";"2013-04-21";127;119,02;132;114,9
"22";"2013-04-22";117,618;127,01;130;110
"23";"2013-04-23";126,5;119,96;127,3;119,615
"24";"2013-04-24";143,484;127,389;144,47;124,859
"25";"2013-04-25";154,6;142,41;166,99;140,9
"26";"2013-04-26";141,9;155;169,13;120,03
"27";"2013-04-27";137,3;142,89;143,985;13
"28";"2013-04-28";128,5;136,56001;147,51;121,46
"29";"2013-04-29";135,28;128,8;136,99;128,02
"30";"2013-04-30";144;134,63;148,5;113,42
"31";"2013-05-01";139,88;143,89;146,6752;133,89
"32";"2013-05-02";116;139,87;140,02;105
"33";"2013-05-03";106,6;116,75;127,18;90,414
"34";"2013-05-04";98,06;107;108,21;80
"35";"2013-05-05";112,5;98,5;115,959;93,356
"36";"2013-05-06";116,57;112,3;126;100
"37";"2013-05-07";112;116,587;124,3;106
"38";"2013-05-08";110;112,1;113,44;98
"39";"2013-05-09";113,5;109,76;116,98;108,5
"40";"2013-05-10";112,669;113,495;113,5;108,23
"41";"2013-05-11";117,87;112,653;122,5;111,4
"42";"2013-05-12";115,576;117,92;118,9;112,72
"43";"2013-05-13";114,3;115,58;118;113
"44";"2013-05-14";117,979;115,97;118,97;114,07
"45";"2013-05-15";111,551;117,811;119,85;105,2
"46";"2013-05-16";108,95;110,7;117;103,45
"47";"2013-05-17";115;108,98;115,2;108,2
"48";"2013-05-18";117,62;115;122;112,35
"49";"2013-05-19";118,52;117,51;118,98;115,81001
"50";"2013-05-20";118,25;118,23;120,99;115,61
"51";"2013-05-21";118,09;118,23;118,94;116
"52";"2013-05-22";117;116,9;118,6;116,9
"53";"2013-05-23";119,11;117,9;120;117
"54";"2013-05-24";123,83;118,45;124,25;118,41
"55";"2013-05-25";128,7;123,84;130;122,4
"56";"2013-05-26";128,97;128,61;129,73;125,1
"57";"2013-05-27";130,24;128,97;133;128
"58";"2013-05-28";126,25;130,27;130,59;123
"59";"2013-05-29";125,5;125;127;123
"60";"2013-05-30";130,35;126,06;140,68;125,67
"61";"2013-05-31";126,7;130,35;131;124,15
"62";"2013-06-01";127,9;126,78;129,1;125,06
"63";"2013-06-02";128,77;127,73;129;127
"64";"2013-06-03";123,8;128,77;132,65;117
"65";"2013-06-04";123,1;123,41;132,87;117
"66";"2013-06-05";120,43;123,22;123,99;116,42
"67";"2013-06-06";121,19;120,3;122,37;119,6
"68";"2013-06-07";119,28;121,33;121,33;118
"69";"2013-06-08";111,07;118,4;119;107
"70";"2013-06-09";109,13;110,17;112,5;108,45
"71";"2013-06-10";100;108,99;110;89,9
"72";"2013-06-11";104,18;100;108;93
"73";"2013-06-12";107,36;104,68;108,03;103,4
"74";"2013-06-13";106,68;107,07;119;105
"75";"2013-06-14";102;106,28;109,14;95
"76";"2013-06-15";99;101,86;107,36;97
"77";"2013-06-16";99,42;99,01;104;96,22
"78";"2013-06-17";99;99,43;101,1;98,66
"79";"2013-06-18";100,49;99;101,01;98,3
"80";"2013-06-19";104,12;100,39;108,5;99,99
"81";"2013-06-20";104,99;104,49;107,5;102,99
"82";"2013-06-21";104,55;104,83;108;102,38
"83";"2013-06-22";101,29;103;105;91
"84";"2013-06-23";100,23;101,29;102,4;98,49
"85";"2013-06-24";100,4;100;101,5;98,6
"86";"2013-06-25";98,68;100,4;102,13;95,38
"87";"2013-06-26";97,58;99,35;100,9;97,5
"88";"2013-06-27";98,69;98,5;100;96,99
"89";"2013-06-28";96,31;98,01;98,72;96,31
"90";"2013-06-29";89,79;96,31;96,52;88,01
"91";"2013-06-30";88,8;89,2;91,6;86,15
"92";"2013-07-01";89,55;88,53;90,25;88,26
"93";"2013-07-02";83,5;89,58;91,56;1
"94";"2013-07-03";87,68;83,51;88,5;83,24
"95";"2013-07-04";77,402;89;89,56;75
"96";"2013-07-05";79,4;77,33;82;70,04
"97";"2013-07-06";67;79,4;79,4;64
"98";"2013-07-07";66,12;67;73,26;62,94
"99";"2013-07-08";73,98;66,12;74,07786;64,89
"100";"2013-07-09";74,35;73,96;77;70
"101";"2013-07-10";74,98;73,85;76,01;70,47
"102";"2013-07-11";86,12;74,93;87;74,83
"103";"2013-07-12";88;86,12;89,23;84
"104";"2013-07-13";90,2;87,81;101,39;86,64
"105";"2013-07-14";91,6;90,17;91,95;85
"106";"2013-07-15";90,07;91,69;93;88,88
"107";"2013-07-16";93,94;89,011;99,83;82,45
"108";"2013-07-17";91,6;93,75;94;84,7
"109";"2013-07-18";91,48;91,58;92,8;89,22
"110";"2013-07-19";85,27;90,85;91,23;77
"111";"2013-07-20";86,53;85,01;87,1;83,4
"112";"2013-07-21";85;86,5;87,2;84,27
"113";"2013-07-22";85,79;85,09;86,4;84
"114";"2013-07-23";85,6;85,77;87,1;83,99
"115";"2013-07-24";86,95;85,55;88,67;82,99
"116";"2013-07-25";88,36;86,95;95,68;86,46
"117";"2013-07-26";90,24;88,42;91,99899;87,15
"118";"2013-07-27";89,95;90,09;91,72;89,2
"119";"2013-07-28";88,02;89,95;90,11;87,8
"120";"2013-07-29";92,46;88,02;94;87,92
"121";"2013-07-30";93,37;92,01;93,73;90,54
"122";"2013-07-31";96,5;93,01;97,11;92,7
"123";"2013-08-01";98,18;96,68;101,03;95,1
"124";"2013-08-02";96,55;97,99;98,50297;95,21
"125";"2013-08-03";95,85;96,55;98,7;93,75
"126";"2013-08-04";95,49;95,82;97,23;94,67
"127";"2013-08-05";96,38;95,5;96,7;95,5
"128";"2013-08-06";97,4;96,38;98,91;96,21
"129";"2013-08-07";97,8;97,73;98,9;97
"130";"2013-08-08";97;97,8;98,3;95,5
"131";"2013-08-09";94,25;97;97,17;91,4
"132";"2013-08-10";92,28;94,27;95,51;89,51
"133";"2013-08-11";93,51;92,14;94;92,14
"134";"2013-08-12";94;93,51;94,52;93,2
"135";"2013-08-13";95,35;94;96,24;93,31
"136";"2013-08-14";98,15;95,12109;98,2;94,23
"137";"2013-08-15";99,16;97,99;101;97,36828
"138";"2013-08-16";98,08;99,4;100,01;96,24
"139";"2013-08-17";98,3;98,39;99;96,53
"140";"2013-08-18";99,4;98,27;99,7;97,5
"141";"2013-08-19";99,25;100;100;98,42
"142";"2013-08-20";102,6;99,25;105;98,82
"143";"2013-08-21";104,94;102,85;104,94;100,48
"144";"2013-08-22";110,43;104,94;114,45;104,57
"145";"2013-08-23";109,14;111,62;113,01;107,99
"146";"2013-08-24";107,89;109,12;110;104,3
"147";"2013-08-25";108,3;107,66;110,6;106,61
"148";"2013-08-26";113,11;109,17;114,76;109,16
"149";"2013-08-27";112,45;113,12;113,9;110
"150";"2013-08-28";117,7;111,85;119;111,77
"151";"2013-08-29";118;118;119,76;116
"152";"2013-08-30";118,5;117,95;121;117,29
"153";"2013-08-31";125;118,93;126,3;118,05
"154";"2013-09-01";127,8;124,89;134,94;123,75
"155";"2013-09-02";130,41;128,21;132;126,81
"156";"2013-09-03";129,45;130,73;132,05;128
"157";"2013-09-04";129,18;129,23;131;126,9
"158";"2013-09-05";122,24;130;130;115
"159";"2013-09-06";122,63;122,22;127,99;115,81
"160";"2013-09-07";116,82;122;124,75;115
"161";"2013-09-08";119,76;116;121,10889;115,5
"162";"2013-09-09";117,98;119,79;120,84;116,77
"163";"2013-09-10";121,5;118;124;115,98561
"164";"2013-09-11";122,07;121,17;124,24;120,07
"165";"2013-09-12";126,34;122,34;127,64;118,39
"166";"2013-09-13";126,63;126,92;128,5;123
"167";"2013-09-14";127,18;126,63;129,11;124,82
"168";"2013-09-15";124,5;126,23;127,98;122,53
"169";"2013-09-16";125,06;124,5;126,35;123,15
"170";"2013-09-17";125,68;125,18;126,84;124
"171";"2013-09-18";127,13;126,15;127,74;125,32
"172";"2013-09-19";126,9;126,72;128,41;125,78
"173";"2013-09-20";124,38;127;127,63;123,39
"174";"2013-09-21";122,91;123,8;126,01;121,5
"175";"2013-09-22";123,64;122,92;124,02;122
"176";"2013-09-23";122,97;123,5;123,59;122,22
"177";"2013-09-24";122,75;122,93;124,09;122
"178";"2013-09-25";124,09;123;124,19;121,89
"179";"2013-09-26";123,75;123,89;125,22;123,35
"180";"2013-09-27";125,02;123,32;125,02;123,3
"181";"2013-09-28";126,48;124,4;126,86;124,1
"182";"2013-09-29";127;126,57;127;124,8
"183";"2013-09-30";126,76;126,87;128,8;126
"184";"2013-10-01";125,95;127;127,51;123,76
"185";"2013-10-02";127,49;125,95;127,9399;125,81
"186";"2013-10-03";103,85;127,2;128,5;83,26
"187";"2013-10-04";117,87;103,99;118,74;101,66
"188";"2013-10-05";121,94;117,87;123,25;117,41
"189";"2013-10-06";121,62;121,94;125;115
"190";"2013-10-07";122,49;121,14;122,5;121,01
"191";"2013-10-08";123,48;122,26;124,45;120,8
"192";"2013-10-09";124,11;123,5;125,16;122,02
"193";"2013-10-10";126,00071;124,4;127,99;123,36
"194";"2013-10-11";126,1;125,67;126,79;125
"195";"2013-10-12";126,9;126,46;127,4;125,54
